label,text
legitimate,"Hey, are we still meeting for lunch today at 12:30?"
legitimate,Can you please send me the report by the end of the day? Thanks.
legitimate,Just wanted to follow up on our discussion yesterday. Let me know when you're free.
legitimate,I'll be home in about 20 minutes. Please make sure the oven is preheated.
legitimate,"Hi team, here is the agenda for tomorrow's weekly sync meeting."
legitimate,Your package has been delivered to your front porch. Have a great day!
legitimate,Are you free for a quick call to review the design designs?
legitimate,Thanks for the update. I'll review it and get back to you shortly.
legitimate,"Hi Mom, just calling to say I love you and check how you are doing."
legitimate,Can you pick up some milk and eggs on your way back from work?
legitimate,"The weather is lovely today, we should go for a walk in the evening."
legitimate,Your dentist appointment is confirmed for Tuesday at 10:00 AM.
legitimate,Hey! Don't forget we have band practice tonight at 7.
legitimate,Please find attached the receipt for your recent purchase at the grocery store.
legitimate,"Hi, I noticed a typo on slide 5 of the presentation, can you fix it?"
legitimate,Let's reschedule the coffee chat to Friday if that works better for you.
legitimate,"Yes, I can help you move your couch this weekend. Just let me know the time."
legitimate,The meeting has been moved to room 302 due to technical issues in the main hall.
legitimate,Your subscription payment was processed successfully. Thank you for your business.
legitimate,"Hey buddy, happy birthday! Hope you have an amazing day!"
phishing,"Dear Customer, We detected an unauthorized login attempt to your PayPal account from an unrecognized device in Russia. If this was not you, please secure your account immediately by clicking the link below: http://secure-paypal-login.xyz/security"
phishing,"Subject: Update Your Netflix Payment Details. We were unable to process your monthly subscription payment. To keep watching, please update your billing details: http://netflix-billing-update.top/login"
phishing,"Subject: Apple ID Security Alert. Your Apple ID has been suspended due to security reasons. To reactivate your account, please log in and verify your personal information: http://verify-appleid-support.xyz/auth"
phishing,Subject: Chase Bank - Account Verification Required. We are updating our security systems. All customers are required to update their online banking credentials before 24 hours to prevent account lockout: http://chase-online-banking-update.net
phishing,"Dear Microsoft User, Your Office365 password will expire in 24 hours. Keep your current password by verifying your login details here: http://secure-signin-microsoft.info/login.php"
phishing,"Subject: Google Security: Critical Alert. Someone just signed into your account from a new Windows device. If this was not you, please change your password: http://google-security-team.gq/login"
phishing,Warning: IRS Tax Refund Notification. You are eligible for a tax refund of $432.10. Submit your claim form immediately to receive funds directly in your bank account: http://irs-refund-claims.info
phishing,Subject: Urgent Action Required - Document Shared with You. Your manager shared an urgent invoice via OneDrive. Please log in to view the document: http://onedrive-secure-view.tk/login
phishing,Subject: Facebook Security Department. Your account has been reported for violating terms of service. Verify your identity within 48 hours or your account will be permanently disabled: http://facebook-verify-account.tk
phishing,"Subject: Coinbase Security Notification. A withdrawal of 0.45 BTC has been initiated. If you did not request this, cancel the transaction immediately: http://coinbase-transaction-cancel.com"
legitimate,Warning: Let's reschedule the coffee chat to Friday if that works better for you. Visit now.
phishing,Facebook Security Department. Your account has been reported for violating terms of service. Verify your identity within 48 hours or your account will be permanently disabled: http://facebook-verify-account.tk Visit now.
legitimate,"Yes, I can help you move your couch this weekend. Just let me know the time. Click details."
legitimate,"Hi! The weather is lovely today, we should go for a walk in the evening. Thank you."
phishing,"Dear, Coinbase Security Notification. A withdrawal of 0.45 BTC has been initiated. If you did not request this, cancel the transaction immediately: http://coinbase-transaction-cancel.com Reply ASAP."
phishing,"Warning: Apple ID Security Alert. Your Apple ID has been suspended due to security reasons. To reactivate your account, please log in and verify your personal information: http://verify-appleid-support.xyz/auth Click details."
phishing,Hi! Chase Bank - Account Verification Required. We are updating our security systems. All customers are required to update their online banking credentials before 24 hours to prevent account lockout: http://chase-online-banking-update.net Visit now.
phishing,"Dear, Google Security: Critical Alert. Someone just signed into your account from a new Windows device. If this was not you, please change your password: http://google-security-team.gq/login Click details."
legitimate,"Hey, Are you free for a quick call to review the design designs? Click details."
legitimate,"Hey, I'll be home in about 20 minutes. Please make sure the oven is preheated."
legitimate,"Hi, I noticed a typo on slide 5 of the presentation, can you fix it? Code: 6030"
legitimate,"Hello, Hey, are we still meeting for lunch today at 12:30? Reply ASAP."
legitimate,"Hello, I'll be home in about 20 minutes. Please make sure the oven is preheated. Thank you."
legitimate,"Hello, The weather is lovely today, we should go for a walk in the evening. Visit now."
legitimate,Your subscription payment was processed successfully. Thank you for your business. Reply ASAP.
legitimate,"Warning: Hi, I noticed a typo on slide 5 of the presentation, can you fix it? Visit now."
legitimate,"Hey, Thanks for the update. I'll review it and get back to you shortly."
phishing,"Warning: Dear Microsoft User, Your Office365 password will expire in 24 hours. Keep your current password by verifying your login details here: http://secure-signin-microsoft.info/login.php"
legitimate,"Dear, I'll be home in about 20 minutes. Please make sure the oven is preheated. Click details."
legitimate,"Dear, Can you pick up some milk and eggs on your way back from work?"
phishing,"Hello, Dear Customer, We detected an unauthorized login attempt to your PayPal account from an unrecognized device in Russia. If this was not you, please secure your account immediately by clicking the link below: http://secure-paypal-login.xyz/security Code: 8182"
phishing,"Hello, Dear Microsoft User, Your Office365 password will expire in 24 hours. Keep your current password by verifying your login details here: http://secure-signin-microsoft.info/login.php Click details."
legitimate,Hi! Thanks for the update. I'll review it and get back to you shortly. Visit now.
legitimate,"Hello, Hi Mom, just calling to say I love you and check how you are doing. Reply ASAP."
legitimate,Urgent: Just wanted to follow up on our discussion yesterday. Let me know when you're free. Thank you.
phishing,"Warning: Google Security: Critical Alert. Someone just signed into your account from a new Windows device. If this was not you, please change your password: http://google-security-team.gq/login Thank you."
legitimate,Warning: Can you pick up some milk and eggs on your way back from work? Code: 6385
phishing,"Warning: Google Security: Critical Alert. Someone just signed into your account from a new Windows device. If this was not you, please change your password: http://google-security-team.gq/login Code: 7082"
phishing,Urgent: Facebook Security Department. Your account has been reported for violating terms of service. Verify your identity within 48 hours or your account will be permanently disabled: http://facebook-verify-account.tk Click details.
legitimate,Hi! Just wanted to follow up on our discussion yesterday. Let me know when you're free. Code: 1456
legitimate,"Hey, Hey! Don't forget we have band practice tonight at 7. Code: 7845"
phishing,"Hello, Dear Microsoft User, Your Office365 password will expire in 24 hours. Keep your current password by verifying your login details here: http://secure-signin-microsoft.info/login.php Visit now."
phishing,"Urgent: Apple ID Security Alert. Your Apple ID has been suspended due to security reasons. To reactivate your account, please log in and verify your personal information: http://verify-appleid-support.xyz/auth Reply ASAP."
phishing,"Urgent: Dear Microsoft User, Your Office365 password will expire in 24 hours. Keep your current password by verifying your login details here: http://secure-signin-microsoft.info/login.php Thank you."
phishing,Warning: Facebook Security Department. Your account has been reported for violating terms of service. Verify your identity within 48 hours or your account will be permanently disabled: http://facebook-verify-account.tk Click details.
phishing,"Dear, Facebook Security Department. Your account has been reported for violating terms of service. Verify your identity within 48 hours or your account will be permanently disabled: http://facebook-verify-account.tk Click details."
phishing,"Hello, Dear Customer, We detected an unauthorized login attempt to your PayPal account from an unrecognized device in Russia. If this was not you, please secure your account immediately by clicking the link below: http://secure-paypal-login.xyz/security Thank you."
legitimate,"Hello, Thanks for the update. I'll review it and get back to you shortly. Reply ASAP."
phishing,"Hey, Chase Bank - Account Verification Required. We are updating our security systems. All customers are required to update their online banking credentials before 24 hours to prevent account lockout: http://chase-online-banking-update.net Code: 6966"
phishing,"Apple ID Security Alert. Your Apple ID has been suspended due to security reasons. To reactivate your account, please log in and verify your personal information: http://verify-appleid-support.xyz/auth Click details."
phishing,"Urgent: Update Your Netflix Payment Details. We were unable to process your monthly subscription payment. To keep watching, please update your billing details: http://netflix-billing-update.top/login Click details."
phishing,"Apple ID Security Alert. Your Apple ID has been suspended due to security reasons. To reactivate your account, please log in and verify your personal information: http://verify-appleid-support.xyz/auth Visit now."
legitimate,"Warning: Hi team, here is the agenda for tomorrow's weekly sync meeting. Thank you."
legitimate,"Hi Mom, just calling to say I love you and check how you are doing. Reply ASAP."
phishing,"Warning: Apple ID Security Alert. Your Apple ID has been suspended due to security reasons. To reactivate your account, please log in and verify your personal information: http://verify-appleid-support.xyz/auth Click details."
legitimate,"Hey, Yes, I can help you move your couch this weekend. Just let me know the time."
legitimate,"Dear, Please find attached the receipt for your recent purchase at the grocery store. Thank you."
phishing,"Hello, Coinbase Security Notification. A withdrawal of 0.45 BTC has been initiated. If you did not request this, cancel the transaction immediately: http://coinbase-transaction-cancel.com Reply ASAP."
phishing,"Hello, Warning: IRS Tax Refund Notification. You are eligible for a tax refund of $432.10. Submit your claim form immediately to receive funds directly in your bank account: http://irs-refund-claims.info"
legitimate,"Hey, Just wanted to follow up on our discussion yesterday. Let me know when you're free. Click details."
legitimate,"Dear, Your package has been delivered to your front porch. Have a great day! Thank you."
legitimate,"Hey, Are you free for a quick call to review the design designs? Reply ASAP."
legitimate,"Hey, Are you free for a quick call to review the design designs? Reply ASAP."
legitimate,The meeting has been moved to room 302 due to technical issues in the main hall. Thank you.
phishing,"Hey, Dear Microsoft User, Your Office365 password will expire in 24 hours. Keep your current password by verifying your login details here: http://secure-signin-microsoft.info/login.php"
phishing,Urgent: Urgent Action Required - Document Shared with You. Your manager shared an urgent invoice via OneDrive. Please log in to view the document: http://onedrive-secure-view.tk/login Visit now.
phishing,"Coinbase Security Notification. A withdrawal of 0.45 BTC has been initiated. If you did not request this, cancel the transaction immediately: http://coinbase-transaction-cancel.com"
phishing,Urgent: Warning: IRS Tax Refund Notification. You are eligible for a tax refund of $432.10. Submit your claim form immediately to receive funds directly in your bank account: http://irs-refund-claims.info Thank you.
legitimate,"Hey, Can you pick up some milk and eggs on your way back from work? Visit now."
