label,text
ham,"Hey, are we still meeting for lunch today at 12:30?"
ham,Can you please send me the report by the end of the day? Thanks.
ham,Just wanted to follow up on our discussion yesterday. Let me know when you're free.
ham,I'll be home in about 20 minutes. Please make sure the oven is preheated.
ham,"Hi team, here is the agenda for tomorrow's weekly sync meeting."
ham,Your package has been delivered to your front porch. Have a great day!
ham,Are you free for a quick call to review the design designs?
ham,Thanks for the update. I'll review it and get back to you shortly.
ham,"Hi Mom, just calling to say I love you and check how you are doing."
ham,Can you pick up some milk and eggs on your way back from work?
ham,"The weather is lovely today, we should go for a walk in the evening."
ham,Your dentist appointment is confirmed for Tuesday at 10:00 AM.
ham,Hey! Don't forget we have band practice tonight at 7.
ham,Please find attached the receipt for your recent purchase at the grocery store.
ham,"Hi, I noticed a typo on slide 5 of the presentation, can you fix it?"
ham,Let's reschedule the coffee chat to Friday if that works better for you.
ham,"Yes, I can help you move your couch this weekend. Just let me know the time."
ham,The meeting has been moved to room 302 due to technical issues in the main hall.
ham,Your subscription payment was processed successfully. Thank you for your business.
ham,"Hey buddy, happy birthday! Hope you have an amazing day!"
spam,CONGRATULATIONS! You have won a free $1000 Walmart gift card! Claim your prize now at http://win-walmart.xyz
spam,URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top
spam,You have been selected for a work from home job! Earn $500/day. Apply now at http://job-offers.club
spam,FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply.
spam,Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info
spam,Loan approved! Get up to $5000 in your bank account today. No credit check! Click http://cash-advance.bid
spam,URGENT: Standard Chartered Alert! Unusual activity detected. Verify your details now: http://sc-safe.com
spam,Private Msg: We are trying to contact you regarding your unclaimed PPI compensation of £3000. Reply CLAIM.
spam,Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz
spam,Your bank account has been locked due to suspicious login. Verify identity here: http://secure-bank-login.xyz
ham,"Hello, Are you free for a quick call to review the design designs?"
spam,"Hey, Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz Click details."
ham,Urgent: The meeting has been moved to room 302 due to technical issues in the main hall. Thank you.
spam,"Hello, Your bank account has been locked due to suspicious login. Verify identity here: http://secure-bank-login.xyz"
spam,"Hey, URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Visit now."
ham,Urgent: Your package has been delivered to your front porch. Have a great day! Reply ASAP.
ham,"Urgent: Hi team, here is the agenda for tomorrow's weekly sync meeting."
spam,Warning: FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply. Thank you.
ham,"Hey, Just wanted to follow up on our discussion yesterday. Let me know when you're free. Code: 7601"
spam,"Hey, Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info Code: 6652"
spam,"Dear, URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Thank you."
ham,"Hey, Let's reschedule the coffee chat to Friday if that works better for you. Code: 4983"
ham,"Hello, Hi, I noticed a typo on slide 5 of the presentation, can you fix it? Thank you."
spam,Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz
spam,Urgent: Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz Code: 5912
ham,"Hello, I'll be home in about 20 minutes. Please make sure the oven is preheated. Visit now."
ham,"Hey, Hey buddy, happy birthday! Hope you have an amazing day! Reply ASAP."
spam,Hi! FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply. Click details.
spam,Hi! Your bank account has been locked due to suspicious login. Verify identity here: http://secure-bank-login.xyz Reply ASAP.
spam,"Dear, Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz Visit now."
ham,Warning: Your package has been delivered to your front porch. Have a great day! Reply ASAP.
spam,Warning: Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info Code: 6231
ham,Warning: Can you please send me the report by the end of the day? Thanks. Click details.
spam,Warning: FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply. Visit now.
ham,Hi! Your subscription payment was processed successfully. Thank you for your business. Visit now.
ham,"Dear, Hi, I noticed a typo on slide 5 of the presentation, can you fix it?"
spam,Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz
ham,"Hey, Let's reschedule the coffee chat to Friday if that works better for you. Thank you."
