label,text
Legitimate,"Hey, are we still meeting for lunch today at 12:30?"
Legitimate,Can you please send me the report by the end of the day? Thanks.
Legitimate,Just wanted to follow up on our discussion yesterday. Let me know when you're free.
Legitimate,I'll be home in about 20 minutes. Please make sure the oven is preheated.
Legitimate,"Hi team, here is the agenda for tomorrow's weekly sync meeting."
Legitimate,Your package has been delivered to your front porch. Have a great day!
Legitimate,Are you free for a quick call to review the design designs?
Legitimate,Thanks for the update. I'll review it and get back to you shortly.
Legitimate,"Hi Mom, just calling to say I love you and check how you are doing."
Legitimate,Can you pick up some milk and eggs on your way back from work?
Legitimate,"The weather is lovely today, we should go for a walk in the evening."
Legitimate,Your dentist appointment is confirmed for Tuesday at 10:00 AM.
Legitimate,Hey! Don't forget we have band practice tonight at 7.
Legitimate,Please find attached the receipt for your recent purchase at the grocery store.
Legitimate,"Hi, I noticed a typo on slide 5 of the presentation, can you fix it?"
Legitimate,Let's reschedule the coffee chat to Friday if that works better for you.
Legitimate,"Yes, I can help you move your couch this weekend. Just let me know the time."
Legitimate,The meeting has been moved to room 302 due to technical issues in the main hall.
Legitimate,Your subscription payment was processed successfully. Thank you for your business.
Legitimate,"Hey buddy, happy birthday! Hope you have an amazing day!"
Scam,CONGRATULATIONS! You have won a free $1000 Walmart gift card! Claim your prize now at http://win-walmart.xyz
Scam,URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top
Scam,You have been selected for a work from home job! Earn $500/day. Apply now at http://job-offers.club
Scam,FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply.
Scam,Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info
Scam,Loan approved! Get up to $5000 in your bank account today. No credit check! Click http://cash-advance.bid
Scam,URGENT: Standard Chartered Alert! Unusual activity detected. Verify your details now: http://sc-safe.com
Scam,Private Msg: We are trying to contact you regarding your unclaimed PPI compensation of £3000. Reply CLAIM.
Scam,Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz
Scam,Your bank account has been locked due to suspicious login. Verify identity here: http://secure-bank-login.xyz
Legitimate,"Hello, Are you free for a quick call to review the design designs?"
Scam,"Hey, Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz Click details."
Legitimate,Urgent: The meeting has been moved to room 302 due to technical issues in the main hall. Thank you.
Scam,"Hello, Your bank account has been locked due to suspicious login. Verify identity here: http://secure-bank-login.xyz"
Scam,"Hey, URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Visit now."
Legitimate,Urgent: Your package has been delivered to your front porch. Have a great day! Reply ASAP.
Legitimate,"Urgent: Hi team, here is the agenda for tomorrow's weekly sync meeting."
Scam,Warning: FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply. Thank you.
Legitimate,"Hey, Just wanted to follow up on our discussion yesterday. Let me know when you're free. Code: 7601"
Scam,"Hey, Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info Code: 6652"
Scam,"Dear, URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Thank you."
Legitimate,"Hey, Let's reschedule the coffee chat to Friday if that works better for you. Code: 4983"
Legitimate,"Hello, Hi, I noticed a typo on slide 5 of the presentation, can you fix it? Thank you."
Scam,Urgent: Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz Code: 5912
Legitimate,"Hello, I'll be home in about 20 minutes. Please make sure the oven is preheated. Visit now."
Legitimate,"Hey, Hey buddy, happy birthday! Hope you have an amazing day! Reply ASAP."
Scam,Hi! FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply. Click details.
Scam,Hi! Your bank account has been locked due to suspicious login. Verify identity here: http://secure-bank-login.xyz Reply ASAP.
Scam,"Dear, Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz Visit now."
Legitimate,Warning: Your package has been delivered to your front porch. Have a great day! Reply ASAP.
Scam,Warning: Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info Code: 6231
Legitimate,Warning: Can you please send me the report by the end of the day? Thanks. Click details.
Scam,Warning: FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply. Visit now.
Legitimate,Hi! Your subscription payment was processed successfully. Thank you for your business. Visit now.
Legitimate,"Dear, Hi, I noticed a typo on slide 5 of the presentation, can you fix it?"
Legitimate,"Hey, Let's reschedule the coffee chat to Friday if that works better for you. Thank you."
Scam,"Dear, URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Click details."
Legitimate,"Urgent: Hi Mom, just calling to say I love you and check how you are doing. Reply ASAP."
Scam,"Hey, Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info"
Legitimate,"Hello, Let's reschedule the coffee chat to Friday if that works better for you. Code: 1347"
Scam,"Hello, FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply. Thank you."
Scam,Warning: FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply. Click details.
Legitimate,Warning: Thanks for the update. I'll review it and get back to you shortly. Reply ASAP.
Legitimate,Can you please send me the report by the end of the day? Thanks. Visit now.
Scam,"Hey, You have been selected for a work from home job! Earn $500/day. Apply now at http://job-offers.club Click details."
Legitimate,Your dentist appointment is confirmed for Tuesday at 10:00 AM. Thank you.
Legitimate,"Dear, Hi, I noticed a typo on slide 5 of the presentation, can you fix it? Click details."
Legitimate,Warning: Are you free for a quick call to review the design designs? Thank you.
Scam,Urgent: Your bank account has been locked due to suspicious login. Verify identity here: http://secure-bank-login.xyz Thank you.
Scam,Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info Reply ASAP.
Legitimate,"Warning: Hi team, here is the agenda for tomorrow's weekly sync meeting. Thank you."
Scam,Urgent: URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Click details.
Scam,Hi! Loan approved! Get up to $5000 in your bank account today. No credit check! Click http://cash-advance.bid Thank you.
Scam,"Hello, URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Reply ASAP."
Legitimate,"Urgent: Yes, I can help you move your couch this weekend. Just let me know the time. Reply ASAP."
Scam,"Dear, URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Visit now."
Scam,URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Visit now.
Scam,"Hey, FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply."
Scam,Hi! URGENT: Your mobile account has outstanding charges. Pay now to avoid suspension: http://pay-fees.top Code: 8464
Scam,Warning: CONGRATULATIONS! You have won a free $1000 Walmart gift card! Claim your prize now at http://win-walmart.xyz Click details.
Scam,Urgent: FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply.
Legitimate,"Warning: Yes, I can help you move your couch this weekend. Just let me know the time. Code: 1447"
Legitimate,Can you pick up some milk and eggs on your way back from work? Visit now.
Scam,Urgent: Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz
Legitimate,"Hey, Hey, are we still meeting for lunch today at 12:30? Reply ASAP."
Scam,Hi! Loan approved! Get up to $5000 in your bank account today. No credit check! Click http://cash-advance.bid Reply ASAP.
Scam,Urgent: URGENT: Standard Chartered Alert! Unusual activity detected. Verify your details now: http://sc-safe.com
Scam,Urgent: URGENT: Standard Chartered Alert! Unusual activity detected. Verify your details now: http://sc-safe.com Reply ASAP.
Scam,"Hey, Your bank account has been locked due to suspicious login. Verify identity here: http://secure-bank-login.xyz Reply ASAP."
Scam,"Hey, Dating Alert: 1 new message from Sarah! She is nearby. View her profile here: http://sarah-chat.xyz"
Scam,Urgent: Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info Thank you.
Legitimate,Warning: Just wanted to follow up on our discussion yesterday. Let me know when you're free. Reply ASAP.
Scam,"Dear, FREE ENTRY! Text WIN to 80090 to enter our weekly cash draw and win £5000! T&C apply. Code: 8166"
Scam,Warning: URGENT: Standard Chartered Alert! Unusual activity detected. Verify your details now: http://sc-safe.com Reply ASAP.
Legitimate,Urgent: Let's reschedule the coffee chat to Friday if that works better for you. Click details.
Scam,"Dear, Loan approved! Get up to $5000 in your bank account today. No credit check! Click http://cash-advance.bid Code: 1857"
Legitimate,Warning: The meeting has been moved to room 302 due to technical issues in the main hall.
Legitimate,Your dentist appointment is confirmed for Tuesday at 10:00 AM. Reply ASAP.
Scam,URGENT: Standard Chartered Alert! Unusual activity detected. Verify your details now: http://sc-safe.com Code: 9958
Scam,You have been selected for a work from home job! Earn $500/day. Apply now at http://job-offers.club Thank you.
Scam,"Hello, Your package could not be delivered due to an incomplete address. Update here: http://post-office-redelivery.info Thank you."
Scam,"Hey, Loan approved! Get up to $5000 in your bank account today. No credit check! Click http://cash-advance.bid Code: 7837"
Scam,"Dear, Private Msg: We are trying to contact you regarding your unclaimed PPI compensation of £3000. Reply CLAIM."
Legitimate,"Hey, Hi team, here is the agenda for tomorrow's weekly sync meeting. Reply ASAP."
Legitimate,"Hello, The meeting has been moved to room 302 due to technical issues in the main hall. Visit now."
Legitimate,"Hey, Hi team, here is the agenda for tomorrow's weekly sync meeting. Click details."
