label,text
legitimate,"Hey, are we still meeting for lunch today at 12:30?"
legitimate,Can you please send me the report by the end of the day? Thanks.
legitimate,Just wanted to follow up on our discussion yesterday. Let me know when you're free.
legitimate,I'll be home in about 20 minutes. Please make sure the oven is preheated.
legitimate,"Hi team, here is the agenda for tomorrow's weekly sync meeting."
legitimate,Your package has been delivered to your front porch. Have a great day!
legitimate,Are you free for a quick call to review the design designs?
legitimate,Thanks for the update. I'll review it and get back to you shortly.
legitimate,"Hi Mom, just calling to say I love you and check how you are doing."
legitimate,Can you pick up some milk and eggs on your way back from work?
legitimate,"The weather is lovely today, we should go for a walk in the evening."
legitimate,Your dentist appointment is confirmed for Tuesday at 10:00 AM.
legitimate,Hey! Don't forget we have band practice tonight at 7.
legitimate,Please find attached the receipt for your recent purchase at the grocery store.
legitimate,"Hi, I noticed a typo on slide 5 of the presentation, can you fix it?"
legitimate,Let's reschedule the coffee chat to Friday if that works better for you.
legitimate,"Yes, I can help you move your couch this weekend. Just let me know the time."
legitimate,The meeting has been moved to room 302 due to technical issues in the main hall.
legitimate,Your subscription payment was processed successfully. Thank you for your business.
legitimate,"Hey buddy, happy birthday! Hope you have an amazing day!"
fraud,"Dearest One, I am Mrs. Mariam Abacha, widow of the late military dictator. I have the sum of $25 Million USD that I wish to transfer to your private account for investment purposes. I will compensate you with 30% of the funds..."
fraud,Subject: Urgent Business Proposal. I am a manager at a bank in South Africa. I discovered an unclaimed deposit of $12.5M from a deceased foreign national. I need your assistance to claim these funds as the next of kin...
fraud,"Subject: Lottery Winning Notification! Your email address has won $1,000,000.00 USD in the Coca-Cola Mega Anniversary Promo. To process your claims, please contact our agent with your full name, country, and phone number..."
fraud,Crypto Investment Masterclass: Multiply your savings by 10x in just 7 days! Our AI-powered trading bot guarantees risk-free returns. Deposit your Bitcoin today at http://crypto-growth-guaranteed.top
fraud,"Subject: Mystery Shopper Job Offer. We are recruiting secret shoppers in your area. You will receive a check for $2,000. Cash it, keep $400, and spend the rest purchasing iTunes gift cards to test customer service..."
fraud,"Dear Friend, I am writing to you from my hospital bed. I am suffering from terminal cancer and want to donate my estate of $5.4 Million to a god-fearing charity or individual who will execute my last wishes..."
fraud,Subject: Inherited Funds Release. The United Nations Compensation Commission has approved the release of your long overdue payment of $1.5 Million USD. Please pay the clearance fee of $150 via Western Union to get your card...
fraud,Earn easy money renting out your bank account! We need local agents to receive transfers and forward them via Bitcoin. Keep a 10% commission. No experience needed! Contact us at http://fast-cash-agents.club
fraud,"Subject: Direct Bank Wire Transfer. I am Dr. Fredrick Cole, director of the Central Bank. We have recovered your funds from corrupt officials. Please send your bank routing number, account number, and SSN to verify..."
fraud,"Subject: Urgent Partnership Request. I have a lucrative gold trading opportunity in Ghana. We need a foreign partner to provide a shipping clearance fee of $3,500. We will share the profits 50/50, yielding over $200,000..."
fraud,Warning: Urgent Business Proposal. I am a manager at a bank in South Africa. I discovered an unclaimed deposit of $12.5M from a deceased foreign national. I need your assistance to claim these funds as the next of kin...
legitimate,"Urgent: Hey, are we still meeting for lunch today at 12:30? Click details."
legitimate,"Hello, Your subscription payment was processed successfully. Thank you for your business."
legitimate,"Dear, Hi, I noticed a typo on slide 5 of the presentation, can you fix it? Visit now."
legitimate,Hi! The meeting has been moved to room 302 due to technical issues in the main hall.
legitimate,Hi! Please find attached the receipt for your recent purchase at the grocery store. Thank you.
legitimate,Can you pick up some milk and eggs on your way back from work? Click details.
legitimate,"Hey, I'll be home in about 20 minutes. Please make sure the oven is preheated. Reply ASAP."
fraud,"Urgent: Dearest One, I am Mrs. Mariam Abacha, widow of the late military dictator. I have the sum of $25 Million USD that I wish to transfer to your private account for investment purposes. I will compensate you with 30% of the funds... Thank you."
legitimate,"Urgent: Yes, I can help you move your couch this weekend. Just let me know the time. Thank you."
fraud,Urgent Business Proposal. I am a manager at a bank in South Africa. I discovered an unclaimed deposit of $12.5M from a deceased foreign national. I need your assistance to claim these funds as the next of kin... Thank you.
fraud,"Warning: Dear Friend, I am writing to you from my hospital bed. I am suffering from terminal cancer and want to donate my estate of $5.4 Million to a god-fearing charity or individual who will execute my last wishes... Code: 8561"
legitimate,"Dear, The meeting has been moved to room 302 due to technical issues in the main hall. Reply ASAP."
fraud,"Dear, Lottery Winning Notification! Your email address has won $1,000,000.00 USD in the Coca-Cola Mega Anniversary Promo. To process your claims, please contact our agent with your full name, country, and phone number... Visit now."
fraud,"Urgent: Direct Bank Wire Transfer. I am Dr. Fredrick Cole, director of the Central Bank. We have recovered your funds from corrupt officials. Please send your bank routing number, account number, and SSN to verify... Code: 2152"
fraud,"Urgent Partnership Request. I have a lucrative gold trading opportunity in Ghana. We need a foreign partner to provide a shipping clearance fee of $3,500. We will share the profits 50/50, yielding over $200,000... Reply ASAP."
legitimate,"Hello, Your subscription payment was processed successfully. Thank you for your business."
fraud,"Urgent: Dearest One, I am Mrs. Mariam Abacha, widow of the late military dictator. I have the sum of $25 Million USD that I wish to transfer to your private account for investment purposes. I will compensate you with 30% of the funds... Code: 5183"
legitimate,Urgent: Just wanted to follow up on our discussion yesterday. Let me know when you're free. Visit now.
fraud,"Hello, Dearest One, I am Mrs. Mariam Abacha, widow of the late military dictator. I have the sum of $25 Million USD that I wish to transfer to your private account for investment purposes. I will compensate you with 30% of the funds... Click details."
legitimate,"Hello, The meeting has been moved to room 302 due to technical issues in the main hall. Click details."
legitimate,Are you free for a quick call to review the design designs?
legitimate,Hey! Don't forget we have band practice tonight at 7. Reply ASAP.
legitimate,Hi! Hey! Don't forget we have band practice tonight at 7. Click details.
fraud,"Urgent: Urgent Partnership Request. I have a lucrative gold trading opportunity in Ghana. We need a foreign partner to provide a shipping clearance fee of $3,500. We will share the profits 50/50, yielding over $200,000... Code: 2190"
fraud,"Dear, Earn easy money renting out your bank account! We need local agents to receive transfers and forward them via Bitcoin. Keep a 10% commission. No experience needed! Contact us at http://fast-cash-agents.club Reply ASAP."
fraud,Urgent: Inherited Funds Release. The United Nations Compensation Commission has approved the release of your long overdue payment of $1.5 Million USD. Please pay the clearance fee of $150 via Western Union to get your card... Code: 6287
legitimate,Warning: Are you free for a quick call to review the design designs? Click details.
fraud,"Dear Friend, I am writing to you from my hospital bed. I am suffering from terminal cancer and want to donate my estate of $5.4 Million to a god-fearing charity or individual who will execute my last wishes... Thank you."
fraud,Hi! Earn easy money renting out your bank account! We need local agents to receive transfers and forward them via Bitcoin. Keep a 10% commission. No experience needed! Contact us at http://fast-cash-agents.club
fraud,"Dear, Urgent Partnership Request. I have a lucrative gold trading opportunity in Ghana. We need a foreign partner to provide a shipping clearance fee of $3,500. We will share the profits 50/50, yielding over $200,000... Reply ASAP."
fraud,"Hello, Crypto Investment Masterclass: Multiply your savings by 10x in just 7 days! Our AI-powered trading bot guarantees risk-free returns. Deposit your Bitcoin today at http://crypto-growth-guaranteed.top Thank you."
legitimate,Warning: Let's reschedule the coffee chat to Friday if that works better for you. Thank you.
legitimate,"Dear, Please find attached the receipt for your recent purchase at the grocery store. Code: 8443"
legitimate,"Hello, The meeting has been moved to room 302 due to technical issues in the main hall. Visit now."
fraud,"Hello, Dear Friend, I am writing to you from my hospital bed. I am suffering from terminal cancer and want to donate my estate of $5.4 Million to a god-fearing charity or individual who will execute my last wishes... Visit now."
legitimate,"Dear, Let's reschedule the coffee chat to Friday if that works better for you. Click details."
fraud,"Dear, Lottery Winning Notification! Your email address has won $1,000,000.00 USD in the Coca-Cola Mega Anniversary Promo. To process your claims, please contact our agent with your full name, country, and phone number..."
fraud,"Warning: Direct Bank Wire Transfer. I am Dr. Fredrick Cole, director of the Central Bank. We have recovered your funds from corrupt officials. Please send your bank routing number, account number, and SSN to verify..."
legitimate,"Urgent: Hi, I noticed a typo on slide 5 of the presentation, can you fix it? Reply ASAP."
fraud,"Dear, Urgent Business Proposal. I am a manager at a bank in South Africa. I discovered an unclaimed deposit of $12.5M from a deceased foreign national. I need your assistance to claim these funds as the next of kin... Thank you."
fraud,"Hi! Dearest One, I am Mrs. Mariam Abacha, widow of the late military dictator. I have the sum of $25 Million USD that I wish to transfer to your private account for investment purposes. I will compensate you with 30% of the funds... Reply ASAP."
legitimate,"Dear, Hi Mom, just calling to say I love you and check how you are doing. Thank you."
fraud,Hi! Urgent Business Proposal. I am a manager at a bank in South Africa. I discovered an unclaimed deposit of $12.5M from a deceased foreign national. I need your assistance to claim these funds as the next of kin... Reply ASAP.
legitimate,"Hello, Hi team, here is the agenda for tomorrow's weekly sync meeting."
legitimate,The meeting has been moved to room 302 due to technical issues in the main hall. Reply ASAP.
legitimate,Urgent: Are you free for a quick call to review the design designs?
legitimate,"Hello, Let's reschedule the coffee chat to Friday if that works better for you. Reply ASAP."
legitimate,"Dear, Thanks for the update. I'll review it and get back to you shortly. Reply ASAP."
fraud,"Hey, Earn easy money renting out your bank account! We need local agents to receive transfers and forward them via Bitcoin. Keep a 10% commission. No experience needed! Contact us at http://fast-cash-agents.club Click details."
legitimate,"Hey, Please find attached the receipt for your recent purchase at the grocery store. Thank you."
legitimate,"Yes, I can help you move your couch this weekend. Just let me know the time. Code: 3031"
legitimate,Warning: Can you pick up some milk and eggs on your way back from work?
legitimate,"Hi Mom, just calling to say I love you and check how you are doing. Thank you."
fraud,"Hello, Inherited Funds Release. The United Nations Compensation Commission has approved the release of your long overdue payment of $1.5 Million USD. Please pay the clearance fee of $150 via Western Union to get your card... Code: 6261"
